09:35:16.892 YIIU [restartedMain] INFO  co.yiiu.pybbs.PybbsApplication - Starting PybbsApplication on heavendeMacBook-Pro.local with PID 808 (/Users/heaven/eclipse-workspace/pybbs/target/classes started by heaven in /Users/heaven/eclipse-workspace/jforum2-code-r719-trunk)
09:35:16.895 YIIU [restartedMain] INFO  co.yiiu.pybbs.PybbsApplication - The following profiles are active: dev
09:35:16.949 YIIU [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
09:35:16.950 YIIU [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
09:35:18.501 YIIU [restartedMain] ERROR c.yiiu.pybbs.config.DataSourceHelper - No timezone mapping entry for 'GMT 8'
09:35:18.501 YIIU [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSourceHelper' of type [co.yiiu.pybbs.config.DataSourceHelper$$EnhancerBySpringCGLIB$$c8a94e4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09:35:18.503 YIIU [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSourceConfig' of type [co.yiiu.pybbs.config.DataSourceConfig$$EnhancerBySpringCGLIB$$1c7db6f8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09:35:18.518 YIIU [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
09:35:18.560 YIIU [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
09:35:18.561 YIIU [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSource' of type [com.zaxxer.hikari.HikariDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09:35:18.592 YIIU [restartedMain] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 5.2.3 by Boxfuse
09:35:18.613 YIIU [restartedMain] INFO  o.f.c.i.database.DatabaseFactory - Database: jdbc:mysql://localhost:3306/pybbs (MySQL 5.7)
